Text,Explanations,Aspect
“I am 15 and lost my mum early this year from cancer. She was sick for a while before so I fee like I’ve been dealing with anxiety about that for a while but now I’m feeling lonely and lost and I don’t know how to cope.”,Feeling lonely and lost/,2
""" I withdrew and self isolated. """,Withdrew/ self isolated/,2
"""I'm a terrible person for saying this!""",Terrible person/,3
“I can't sleep because I feel so alone.. my force attempts of sleep turn to night terrors.”,can't sleep/ force attempts of sleep/,1
"“Unfortunately, I learned the other day that my elderly (though not nearly elderly enough) Mother had been diagnosed with cancer and there isn't really anything that can be done.""",diagnosed with cancer/ ,1
"“Unfortunately, I was about to start a job, after living off my savings and Centrelink while studying up, until I broke my wrist and ribs.”",Living off my savings/ was about to start a job/,0
"""I don't want to be a sad sac, but I can't find joy in anything and dread waking up each morning.""",don't want to be a sad sac/ can't find joy in anything/ dread waking up each morning/,3
“Just sucks big time at the moment.”,sucks big time at the moment/,3
“I feel trapped physically and emotionally. Looping the same loops. My family knows my story. They are immensely supportive. I'm not in danger but I am in mental turmoil. Each setback shatters me and I have to rebuild again and again. The future seems overwhelming and impossible.”,feel trapped physically and emotionally/ Looping the same loops/ I am in mental turmoil/ Each setback shatters me/ future seems overwhelming and impossible/,3
"“Mum passed away, had to move house twice, completed a course qualification, and being a single mum with very very little support.”",Single mum with very very little support/ ,2
“I had a psychologist but I just wouldn’t show up to the appointments I was either in bed depressed or thinking I was fine and don’t need to go. I don’t see the point in anything what so ever.”,in bed depressed/ ,1
"""Doctors have given me no treatments to follow or drugs for RLS.""",No treatment to follow/,0
“Over the last 5 months it has been really constant with few days being good and most days being bad to the point I have to lay in bed to try shake it off. The soul sucking experience has happened only once since then and that encounter vs the ER encounter was actually nightmarish.”,soul sucking experience/ nightmarish/ most days being bad to the point I have to lay in bed to try shake it off/,1
"“I feel noticeably less depressed, then the nausea kicks in and my mood plummets. It's very up and down. I really want this to work and there are good signs, but the nausea and accompanying depressed mood is vile.”",nausea kicks in/ my mood plummets/ depressed mood/,1
“The trauma i experienced in the womb and growing up without my dad had had disastrous effects on my life! I suffer from anxiety and depression.”,Trauma/ disastrous / anxiety and depression/,1
"“I never got to feel safe or heal from the first initial trauma before suffering trauma, sexual assaults on multiple occasions.”",sexual assaults/ trauma/,1
“I still can't tell people no and can't tell people what I think without fear of violent physical or verbal retaliation.”,Can’t tell people no/ can’t tell people what I think/,2
"“I have had a sensitive digestive system for a good portion of my life, not so much that I sought treatment, just things like indigestion with certain foods, bloating and the like.”",sensitive digestive system/ indigestion with certain foods/ bloating,1
"""I’m really beating myself up over it.""",beating myself up over it/,3
"""I try to keep in mind that my memory was pretty bad just with the depression but I have noticed sometimes I am trying to find an answer to something that I am sure I would know and I just can't get to the answer.""",Memory was pretty bad/ just can’t get to the answer/,0
"""My PTSD was brought about after years of exposure to shocking traumas, deaths, and no support from management.""",PTSD/ shocking traumas/ deaths/ no support/,1
“My psychiatrist of 7 years just told me he can’t help me anymore and i feel alone.”,Feel alone/,2
“When I first got here I was the best version of myself I’ve ever bean at peace & very happy person now I'm waking up every morning with anxiety”,Waking up every morning with anxiety/,3
"“The only antidepressant to work for me and without unacceptable side effects is the one I'm on but it needs augmenting, hence the supplement. I'm really worried. (I'm not having thoughts of self harm though. I’m quite safe.)”",antidepressant/ unacceptable side effects/ the supplement/,1
